[2026-03-07 13:32:16] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'march'), ('year', '2026'), ('type', 'inter'), ('applicable', 'nov'), ('username', 'Admin@pds')])
[2026-03-07 13:32:46] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'march'), ('year', '2026'), ('type', 'inter'), ('applicable', 'nov'), ('username', 'Admin@pds')])
[2026-03-07 13:39:07] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'march'), ('year', '2026'), ('type', 'inter'), ('applicable', 'nov'), ('username', 'Admin@pds')])
[2026-03-07 13:58:05] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'march'), ('year', '2026'), ('type', 'intra'), ('applicable', 'nov'), ('username', 'Admin@pds')])
[2026-03-07 14:06:02] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'march'), ('year', '2026'), ('type', 'inter'), ('applicable', 'nov'), ('username', 'Admin@pds')])
[2026-03-07 14:14:09] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'march'), ('year', '2026'), ('type', 'inter'), ('applicable', 'nov'), ('username', 'Admin@pds')])
[2026-03-07 14:36:48] User ->  OptimizationLeg1 Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'march'), ('year', '2026'), ('type', 'inter'), ('applicable', 'nov'), ('username', 'Admin@pds')])
[2026-03-07 14:38:48] User ->  OptimizationLeg1 Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'march'), ('year', '2026'), ('type', 'inter'), ('applicable', 'nov'), ('username', 'Admin@pds')])
[2026-03-07 14:42:16] User ->  OptimizationLeg1 Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'march'), ('year', '2026'), ('type', 'inter'), ('applicable', 'nov'), ('username', 'Admin@pds')])
[2026-03-07 14:50:13] User ->  OptimizationLeg1 Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'march'), ('year', '2026'), ('type', 'inter'), ('applicable', 'nov'), ('username', 'Admin@pds')])
[2026-03-07 14:51:26] User ->  OptimizationLeg1 Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'march'), ('year', '2026'), ('type', 'inter'), ('applicable', 'nov'), ('username', 'Admin@pds')])
[2026-03-07 14:54:30] User ->  OptimizationLeg1 Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'march'), ('year', '2026'), ('type', 'inter'), ('applicable', 'nov'), ('username', 'Admin@pds')])
