[2026-04-16 10:23:04] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'nov'), ('username', 'admin@pds')])
[2026-04-16 10:36:57] User ->  OptimizationLeg1 Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'nov'), ('username', 'admin@pds')])
[2026-04-16 12:40:02] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds')])
[2026-04-16 12:42:21] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds')])
[2026-04-16 13:09:32] User ->  OptimizationLeg1 Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds')])
[2026-04-16 16:27:41] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds')])
[2026-04-16 16:28:08] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds')])
[2026-04-16 16:29:02] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds')])
[2026-04-16 16:29:10] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds')])
[2026-04-16 16:29:44] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds')])
[2026-04-16 16:30:06] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds')])
[2026-04-16 16:30:34] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds')])
[2026-04-16 16:47:13] User ->  Optimization Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds')])
[2026-04-16 16:48:55] User ->  OptimizationLeg1 Start Leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'may'), ('username', 'admin@pds')])
