[2025-02-20 08:59:35] User -> District added ->admin@pds| Requested JSON -> {"name":"Test"}
[2025-02-20 09:00:59] User -> District Name Edit->admin@pds| Requested JSON -> {"name":"Test Data","uid":"'67b6a19fa1d0c'"}
[2025-02-20 09:01:23] User -> District Name Edit->admin@pds| Requested JSON -> {"name":"Test Data OK","uid":"'67b6a19fa1d0c'"}
[2025-02-20 09:04:23] User -> District deleted -> admin@pds| Requested JSON -> {"uid":"67b6a19fa1d0c"} | Test Data Ok
[2025-02-20 10:20:48] User -> Mill added ->admin@pds| Requested JSON -> {"name":"Test","type":"Mill","latitude":"32.776","longitude":"78.678","district":"Alipurduar","id":"admin@pds","demand":"100","demand_rice":"90"}
[2025-02-20 12:15:27] User -> Warehouse Active -> admin@pds| 
[2025-02-20 12:16:12] User -> Mill Active -> admin@pds| Test
[2025-02-20 12:16:14] User -> Mill InActive -> admin@pds| Test
[2025-02-20 12:16:31] User -> Mill Active -> admin@pds| Test
[2025-02-20 12:18:40] User -> Mill Edit->admin@pds| Requested JSON -> {"name":"Test Data","uniqueid":"DCP_67b6b4a8e8c","active":"1","type":"Mill","latitude":"32.776","longitude":"78.678","district":"Alipurduar","id":"admin@pds","demand":"100","demand_rice":"90"}
[2025-02-20 12:19:08] User -> Mill Edit->admin@pds| Requested JSON -> {"name":"Test Data","uniqueid":"DCP_67b6b4a8e8c","active":"1","type":"Mill","latitude":"32.776","longitude":"78.678","district":"Alipurduar","id":"admin@pds","demand":"100","demand_rice":"80"}
[2025-02-20 12:24:33] User -> Mill deleted -> admin@pds| Requested JSON -> {"uid":"DCP_67b6b4a8e8c"} | Test Data
[2025-02-20 12:26:02] User -> Mill added ->admin@pds| Requested JSON -> {"name":"Test Data","type":"Mill","latitude":"26.553","longitude":"89.123","district":"Alipurduar","id":"11A","demand":"100","demand_rice":"80"}
[2025-02-20 12:27:19] User -> Mill deleted -> admin@pds| Requested JSON -> {"uid":"DCP_67b6d202da0"} | Test Data
[2025-02-20 12:28:34] User -> Mill deleted -> admin@pds| Requested JSON -> {"uid":"DCP_67b6d285765"} | Test Data 1
[2025-02-20 12:28:36] User -> Mill deleted -> admin@pds| Requested JSON -> {"uid":"DCP_67b6d2858b1"} | Test Data 2
[2025-02-20 12:29:44] User -> Mill Added -> admin@pds| Test Data 1
[2025-02-20 12:29:44] User -> Mill Added -> admin@pds| Test Data 2
[2025-02-20 12:32:13] User -> Mill Edit -> admin@pds| Mnp
[2025-02-20 12:32:13] User -> Mill Edit -> admin@pds| Mnp
[2025-02-20 12:32:13] User -> Mill Edit -> admin@pds| Mnp
[2025-02-20 12:32:13] User -> Mill Edit -> admin@pds| Mnp
[2025-02-20 12:32:13] User -> Mill Edit -> admin@pds| Mnp
